,hash,n,m,nf,method,runtime,cf,internalTime,avgNodeTime,modelPreperationTime,nNodes,optimizationTime,terminationCond
0,444632,10,10,24,PhISCS_I_,0.15787053108215332,1.0,0.0980062484741211,,,,,
1,444632,10,10,24,PhISCS_B_,0.02023911476135254,1.0,0.0068492889404296875,,,,,
2,444632,10,10,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.9242641925811768,1.0,0.8691847324371338,0.014019108587695707,0.07903218269348145,62,0.7296335697174072,optimality
3,444632,10,10,24,BnB_DynamicMWMBounding_None_False,60.01134204864502,1.0,60.00679135322571,0.0065869145283453025,,9110,,time_limit
4,9197713,10,10,28,PhISCS_I_,0.18946194648742676,1.0,0.10293412208557129,,,,,
5,9197713,10,10,28,PhISCS_B_,0.021940946578979492,1.0,0.007754087448120117,,,,,
6,9197713,10,10,28,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,5.806848049163818,1.0,5.752523422241211,0.009901073015905698,0.2037646770477295,581,4.975912570953369,optimality
7,9197713,10,10,31,BnB_DynamicMWMBounding_None_False,60.00922513008118,1.0,60.00684070587158,0.007436713434858295,,8069,,time_limit
8,3684475,10,10,28,PhISCS_I_,0.17525386810302734,1.0,0.12383842468261719,,,,,
9,3684475,10,10,27,PhISCS_B_,0.022830963134765625,1.0,0.008649349212646484,,,,,
10,3684475,10,10,27,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,32.743905544281006,1.0,32.68892478942871,0.009151434711486202,1.2393314838409424,3572,27.629677772521973,optimality
11,3684475,10,10,27,BnB_DynamicMWMBounding_None_False,60.00912642478943,1.0,60.0064435005188,0.00700028505605679,,8572,,time_limit
12,5289077,10,10,26,PhISCS_I_,0.1177070140838623,1.0,0.06583356857299805,,,,,
13,5289077,10,10,26,PhISCS_B_,0.019158601760864258,1.0,0.005462646484375,,,,,
14,5289077,10,10,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,2.756678342819214,1.0,2.6973342895507812,0.008872810162995992,0.1474602222442627,304,2.270286798477173,optimality
15,5289077,10,10,26,BnB_DynamicMWMBounding_None_False,60.00925350189209,1.0,60.00682067871094,0.006359349372478904,,9436,,time_limit
16,8528439,10,10,29,PhISCS_I_,0.1924283504486084,1.0,0.10698890686035156,,,,,
17,8528439,10,10,29,PhISCS_B_,0.02277350425720215,1.0,0.008866548538208008,,,,,
18,8528439,10,10,29,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,1.576246738433838,1.0,1.520615577697754,0.009938663906521268,0.09513640403747559,153,1.2981901168823242,optimality
19,8528439,10,10,31,BnB_DynamicMWMBounding_None_False,60.01544904708862,1.0,60.01269054412842,0.007279559745770065,,8244,,time_limit
20,4908421,10,10,25,PhISCS_I_,0.15134835243225098,1.0,0.10048151016235352,,,,,
21,4908421,10,10,25,PhISCS_B_,0.021096467971801758,1.0,0.0068666934967041016,,,,,
22,4908421,10,10,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,2.223567485809326,1.0,2.1700172424316406,0.010235930388828493,0.13025784492492676,212,1.817793607711792,optimality
23,4908421,10,10,25,BnB_DynamicMWMBounding_None_False,60.01267337799072,1.0,60.01054620742798,0.006783918856819803,,8846,,time_limit
24,6500044,10,10,26,PhISCS_I_,0.16076970100402832,1.0,0.10729193687438965,,,,,
25,6500044,10,10,25,PhISCS_B_,0.021277427673339844,1.0,0.006852388381958008,,,,,
26,6500044,10,10,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,1.05399751663208,1.0,0.9971926212310791,0.012784520785013834,0.09115028381347656,78,0.8330204486846924,optimality
27,6500044,10,10,30,BnB_DynamicMWMBounding_None_False,60.01197290420532,1.0,60.00934457778931,0.007509616390663159,,7991,,time_limit
28,7614004,10,10,26,PhISCS_I_,0.13801217079162598,1.0,0.08597707748413086,,,,,
29,7614004,10,10,25,PhISCS_B_,0.020931720733642578,1.0,0.00634765625,,,,,
30,7614004,10,10,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,3.48006534576416,1.0,3.4250941276550293,0.008873300848847226,0.16607141494750977,386,2.8789260387420654,optimality
31,7614004,10,10,25,BnB_DynamicMWMBounding_None_False,60.011876583099365,1.0,60.00921320915222,0.006073807004974921,,9880,,time_limit
32,898290,10,10,26,PhISCS_I_,0.14647221565246582,1.0,0.09431314468383789,,,,,
33,898290,10,10,26,PhISCS_B_,0.021467208862304688,1.0,0.007120370864868164,,,,,
34,898290,10,10,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,2.9860453605651855,1.0,2.930960178375244,0.010505233614248186,0.1518392562866211,279,2.4763944149017334,optimality
35,898290,10,10,26,BnB_DynamicMWMBounding_None_False,60.008909702301025,1.0,60.00643014907837,0.00710892431573017,,8441,,time_limit
36,5829519,10,10,22,PhISCS_I_,0.13582992553710938,1.0,0.08418607711791992,,,,,
37,5829519,10,10,22,PhISCS_B_,0.05265164375305176,1.0,0.03775310516357422,,,,,
38,5829519,10,10,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,2.09805965423584,1.0,2.0415751934051514,0.010578109810389385,0.1369633674621582,193,1.7107441425323486,optimality
39,5829519,10,10,22,BnB_DynamicMWMBounding_None_False,60.00562596321106,1.0,60.00310921669006,0.0063630020378250335,,9430,,time_limit
40,511010,10,10,26,PhISCS_I_,0.09261465072631836,1.0,0.04039812088012695,,,,,
41,511010,10,10,26,PhISCS_B_,0.020476341247558594,1.0,0.006591320037841797,,,,,
42,511010,10,10,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.5186810493469238,1.0,0.4627513885498047,0.017138940316659433,0.06722807884216309,27,0.3947412967681885,optimality
43,511010,10,10,28,BnB_DynamicMWMBounding_None_False,60.006131649017334,1.0,60.00385785102844,0.006862289324225577,,8744,,time_limit
44,3829240,10,10,25,PhISCS_I_,0.14633679389953613,1.0,0.09457850456237793,,,,,
45,3829240,10,10,25,PhISCS_B_,0.02007579803466797,1.0,0.006125211715698242,,,,,
46,3829240,10,10,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,1.2498173713684082,1.0,1.1955499649047852,0.010868636044588957,0.09340453147888184,110,1.0040490627288818,optimality
47,3829240,10,10,25,BnB_DynamicMWMBounding_None_False,60.010801553726196,1.0,60.00839686393738,0.007040759927717632,,8523,,time_limit
48,7292574,10,10,24,PhISCS_I_,0.07153844833374023,1.0,0.020833253860473633,,,,,
49,7292574,10,10,24,PhISCS_B_,0.018030643463134766,1.0,0.00461125373840332,,,,,
50,7292574,10,10,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.4783473014831543,1.0,0.42248106002807617,0.016899242401123046,0.06456422805786133,25,0.3621809482574463,optimality
51,7292574,10,10,24,BnB_DynamicMWMBounding_None_False,60.01251459121704,1.0,60.009965896606445,0.006913590541083692,,8680,,time_limit
52,9636093,10,10,18,PhISCS_I_,0.10408401489257812,1.0,0.020549774169921875,,,,,
53,9636093,10,10,18,PhISCS_B_,0.017004013061523438,1.0,0.003882884979248047,,,,,
54,9636093,10,10,18,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.3329136371612549,1.0,0.27809953689575195,0.014636817731355367,0.05760908126831055,19,0.23649358749389648,optimality
55,9636093,10,10,18,BnB_DynamicMWMBounding_None_False,26.684027910232544,1.0,26.681355237960815,0.006170526188242557,,4324,,optimality
56,7544535,10,10,23,PhISCS_I_,0.13250446319580078,1.0,0.08028173446655273,,,,,
57,7544535,10,10,23,PhISCS_B_,0.020130157470703125,1.0,0.005676746368408203,,,,,
58,7544535,10,10,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.759876012802124,1.0,0.7045989036560059,0.010211578313855158,0.0704050064086914,69,0.5987796783447266,optimality
59,7544535,10,10,25,BnB_DynamicMWMBounding_None_False,60.01355290412903,1.0,60.011083126068115,0.006904174312709171,,8692,,time_limit
60,2122461,10,10,14,PhISCS_I_,0.06985235214233398,1.0,0.019315719604492188,,,,,
61,2122461,10,10,14,PhISCS_B_,0.016203641891479492,1.0,0.0029268264770507812,,,,,
62,2122461,10,10,14,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.2883634567260742,1.0,0.23482561111450195,0.015655040740966797,0.053122520446777344,15,0.2048788070678711,optimality
63,2122461,10,10,14,BnB_DynamicMWMBounding_None_False,5.56416916847229,1.0,5.561917304992676,0.005135657714674677,,1083,,optimality
64,6346688,10,10,23,PhISCS_I_,0.09579586982727051,1.0,0.046251773834228516,,,,,
65,6346688,10,10,23,PhISCS_B_,0.018977880477905273,1.0,0.0050601959228515625,,,,,
66,6346688,10,10,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.4355342388153076,1.0,0.3824036121368408,0.015933483839035034,0.06118321418762207,24,0.32450151443481445,optimality
67,6346688,10,10,23,BnB_DynamicMWMBounding_None_False,60.01033902168274,1.0,60.00777864456177,0.006330602241223944,,9479,,time_limit
68,5765493,10,10,26,PhISCS_I_,0.13537883758544922,1.0,0.0828707218170166,,,,,
69,5765493,10,10,26,PhISCS_B_,0.020782470703125,1.0,0.006455421447753906,,,,,
70,5765493,10,10,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.5768940448760986,1.0,0.5210692882537842,0.01211789042450661,0.06888008117675781,43,0.44274401664733887,optimality
71,5765493,10,10,26,BnB_DynamicMWMBounding_None_False,60.00845289230347,1.0,60.005834341049194,0.006565908123541875,,9139,,time_limit
72,2815176,10,10,29,PhISCS_I_,0.19303345680236816,1.0,0.10801339149475098,,,,,
73,2815176,10,10,29,PhISCS_B_,0.02193617820739746,1.0,0.007591724395751953,,,,,
74,2815176,10,10,29,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.7065351009368896,1.0,0.6501650810241699,0.013003301620483399,0.07345747947692871,50,0.5542423725128174,optimality
75,2815176,10,10,29,BnB_DynamicMWMBounding_None_False,60.011300563812256,1.0,60.00859618186951,0.006853425785960428,,8756,,time_limit
76,8148135,10,10,18,PhISCS_I_,0.09208202362060547,1.0,0.04015493392944336,,,,,
77,8148135,10,10,18,PhISCS_B_,0.017868995666503906,1.0,0.0038437843322753906,,,,,
78,8148135,10,10,18,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.37910032272338867,1.0,0.32189297676086426,0.016941735618992856,0.05741596221923828,19,0.28310370445251465,optimality
79,8148135,10,10,18,BnB_DynamicMWMBounding_None_False,60.01274538040161,1.0,60.01030707359314,0.005975336759294348,,10043,,time_limit
