,hash,n,m,n_flips,method,runtime,cf,internal_time,avg_node_time,model_preparation_time,n_nodes,optimization_time,termination_condition
0,4883421,12,8,18,PhISCS_I_,0.06630706787109375,1.0,0.016487598419189453,,,,,
1,4883421,12,8,18,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10486555099487305,1.0,0.0559537410736084,0.0029449337407162317,0.03841400146484375,19,0.020594358444213867,optimality
2,504059,12,8,22,PhISCS_I_,0.054651498794555664,1.0,0.015143156051635742,,,,,
3,504059,12,8,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11281037330627441,1.0,0.07020950317382812,0.0030525870945142665,0.04215717315673828,23,0.023940086364746094,optimality
4,4437276,12,8,26,PhISCS_I_,0.06652355194091797,1.0,0.027151107788085938,,,,,
5,4437276,12,8,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,2.1115336418151855,1.0,2.069957733154297,0.002120858333149894,0.23935174942016602,976,0.7676148414611816,optimality
6,3107055,12,8,21,PhISCS_I_,0.13860297203063965,1.0,0.01585078239440918,,,,,
7,3107055,12,8,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10814404487609863,1.0,0.06339073181152344,0.0028813969005237927,0.04526710510253906,22,0.019272565841674805,optimality
8,3717648,12,8,22,PhISCS_I_,0.0955193042755127,1.0,0.0563046932220459,,,,,
9,3717648,12,8,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10863590240478516,1.0,0.06848549842834473,0.002977630366449771,0.04083585739135742,23,0.0235445499420166,optimality
10,4489817,12,8,24,PhISCS_I_,0.05372810363769531,1.0,0.01481771469116211,,,,,
11,4489817,12,8,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.12898898124694824,1.0,0.08724141120910645,0.003489656448364258,0.0454559326171875,25,0.03170013427734375,optimality
12,585771,12,8,25,PhISCS_I_,0.09929537773132324,1.0,0.057820796966552734,,,,,
13,585771,12,8,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.1654813289642334,1.0,0.12198543548583984,0.0023458737593430737,0.047028303146362305,52,0.04355287551879883,optimality
14,8707879,12,8,20,PhISCS_I_,0.05848097801208496,1.0,0.018079757690429688,,,,,
15,8707879,12,8,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10036063194274902,1.0,0.05849575996398926,0.0027855123792375836,0.04151582717895508,21,0.016736507415771484,optimality
16,7196902,12,8,28,PhISCS_I_,0.11063432693481445,1.0,0.07029104232788086,,,,,
17,7196902,12,8,28,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,4.032277822494507,1.0,3.989696741104126,0.0017803198309255359,0.3606996536254883,2241,1.3678598403930664,optimality
18,2189241,12,8,26,PhISCS_I_,0.09804630279541016,1.0,0.05715465545654297,,,,,
19,2189241,12,8,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.506662130355835,1.0,1.463221549987793,0.0020154566804239573,0.1508464813232422,726,0.56162428855896,optimality
20,2788277,12,8,20,PhISCS_I_,0.07282900810241699,1.0,0.02944350242614746,,,,,
21,2788277,12,8,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11261582374572754,1.0,0.06763529777526855,0.003220728465488979,0.043117523193359375,21,0.02655196189880371,optimality
22,7555692,12,8,24,PhISCS_I_,0.10167622566223145,1.0,0.06198477745056152,,,,,
23,7555692,12,8,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.1620464324951172,1.0,0.08795762062072754,0.0032576896526195385,0.07563996315002441,27,0.03347492218017578,optimality
24,1459055,12,8,27,PhISCS_I_,0.06182527542114258,1.0,0.022467613220214844,,,,,
25,1459055,12,8,27,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.13922953605651855,1.0,0.09665036201477051,0.003451798643384661,0.04568624496459961,28,0.036716461181640625,optimality
26,7599010,12,8,22,PhISCS_I_,0.0526430606842041,1.0,0.013791084289550781,,,,,
27,7599010,12,8,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11494588851928711,1.0,0.07212138175964355,0.003135712250419285,0.042740821838378906,23,0.025829315185546875,optimality
28,7718355,12,8,18,PhISCS_I_,0.05203604698181152,1.0,0.013175725936889648,,,,,
29,7718355,12,8,18,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09485483169555664,1.0,0.05395221710205078,0.0028395903737921465,0.03992652893066406,19,0.016691207885742188,optimality
