,hash,n,m,n_flips,method,runtime,cf,internal_time
0,5557354,40,40,8,PhISCS_I_,7.862631559371948,1.0,2.818878173828125
1,5557354,40,40,8,PhISCS_B_,1.3059768676757812,1.0,0.02903151512145996
2,7489608,40,40,8,PhISCS_I_,7.16278600692749,1.0,2.4722464084625244
3,7489608,40,40,8,PhISCS_B_,1.1318376064300537,1.0,0.031705379486083984
4,2977812,40,40,11,PhISCS_I_,7.469604015350342,1.0,2.382249355316162
5,2977812,40,40,11,PhISCS_B_,0.9548943042755127,1.0,0.02465963363647461
6,2608622,40,40,9,PhISCS_I_,7.577547311782837,1.0,2.5230305194854736
7,2608622,40,40,9,PhISCS_B_,0.8920371532440186,1.0,0.025733470916748047
8,9832271,40,40,12,PhISCS_I_,7.327749729156494,1.0,2.626555919647217
9,9832271,40,40,12,PhISCS_B_,1.2170639038085938,1.0,0.028424739837646484
10,877849,40,40,8,PhISCS_I_,7.1817662715911865,1.0,2.568174123764038
11,877849,40,40,8,PhISCS_B_,0.8221616744995117,1.0,0.015517234802246094
12,1159800,40,40,7,PhISCS_I_,6.903398275375366,1.0,2.415750503540039
13,1159800,40,40,7,PhISCS_B_,0.9036076068878174,1.0,0.014955759048461914
14,2256348,40,40,9,PhISCS_I_,7.095251083374023,1.0,2.4408769607543945
15,2256348,40,40,9,PhISCS_B_,1.0971193313598633,1.0,0.01694202423095703
16,185860,40,40,10,PhISCS_I_,6.549002408981323,1.0,2.2545127868652344
17,185860,40,40,10,PhISCS_B_,1.2392327785491943,1.0,0.017932653427124023
18,1353273,40,40,11,PhISCS_I_,7.222310781478882,1.0,2.4496588706970215
19,1353273,40,40,11,PhISCS_B_,0.9904320240020752,1.0,0.02432417869567871
