,hash,n,m,k,n_flips,method,runtime,cf,file_name,internal_time,num_ones,num_zeros,s,simNo,avg_node_time,model_preparation_time,n_nodes,optimization_time,termination_condition
0,4882467,10,10,16.0,9,PhISCS_I_,0.1122734546661377,1.0,simNo_1-s_4-m_10-n_10.SC.ground,0.020766496658325195,40,60,4,1,,,,,
1,4882467,10,10,16.0,9,PhISCS_B_,0.01799178123474121,1.0,simNo_1-s_4-m_10-n_10.SC.ground,0.002234220504760742,40,60,4,1,,,,,
2,4882467,10,10,16.0,9,BnB_SubsampleLPBounding_0.1_True_-1,2.1626946926116943,1.0,simNo_1-s_4-m_10-n_10.SC.ground,2.125800132751465,40,60,4,1,0.002078005994869467,0.23935937881469727,1023,0.18901681900024414,optimality
3,4882467,10,10,16.0,9,BnB_SubsampleLPBounding_0.3_True_-1,2.2105185985565186,1.0,simNo_1-s_4-m_10-n_10.SC.ground,2.0421488285064697,40,60,4,1,0.001996235413984819,0.3587055206298828,1023,0.2689545154571533,optimality
4,4882467,10,10,16.0,9,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.16129589080810547,1.0,simNo_1-s_4-m_10-n_10.SC.ground,0.04701113700866699,40,60,4,1,0.0047011137008666996,0.10066056251525879,10,0.028217315673828125,optimality
5,4882467,10,10,16.0,9,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.39484214782714844,1.0,simNo_1-s_4-m_10-n_10.SC.ground,0.28740429878234863,40,60,4,1,0.028740429878234865,0.09589982032775879,10,0.262739896774292,optimality
6,4882467,10,10,16.0,9,BnB_DynamicMWMBounding_None_False,0.675347089767456,1.0,simNo_1-s_4-m_10-n_10.SC.ground,0.6711773872375488,40,60,4,1,0.006580170463113224,,102,,optimality
7,4882467,10,10,16.0,9,BnB_RandomPartitioning_None_False,0.45035314559936523,1.0,simNo_1-s_4-m_10-n_10.SC.ground,0.4471111297607422,40,60,4,1,0.0012774603707449777,,350,,optimality
8,6803527,10,10,16.0,1,PhISCS_I_,0.06992101669311523,1.0,simNo_2-s_4-m_10-n_10.SC.ground,0.019181251525878906,19,81,4,2,,,,,
9,6803527,10,10,16.0,1,PhISCS_B_,0.024091243743896484,1.0,simNo_2-s_4-m_10-n_10.SC.ground,0.0012998580932617188,19,81,4,2,,,,,
10,6803527,10,10,16.0,1,BnB_SubsampleLPBounding_0.1_True_-1,0.02627420425415039,1.0,simNo_2-s_4-m_10-n_10.SC.ground,0.0026938915252685547,19,81,4,2,0.0008979638417561849,0.022289037704467773,3,0.0010437965393066406,optimality
11,6803527,10,10,16.0,1,BnB_SubsampleLPBounding_0.3_True_-1,0.08898162841796875,1.0,simNo_2-s_4-m_10-n_10.SC.ground,0.002900838851928711,19,81,4,2,0.0009669462839762369,0.08342909812927246,3,0.0025033950805664062,optimality
12,6803527,10,10,16.0,1,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11972451210021973,1.0,simNo_2-s_4-m_10-n_10.SC.ground,0.0057773590087890625,19,81,4,2,0.0028886795043945312,0.09689593315124512,2,0.017804861068725586,optimality
13,6803527,10,10,16.0,1,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.08848786354064941,1.0,simNo_2-s_4-m_10-n_10.SC.ground,0.01465296745300293,19,81,4,2,0.007326483726501465,0.06330466270446777,2,0.021589279174804688,optimality
14,6803527,10,10,16.0,1,BnB_DynamicMWMBounding_None_False,0.012450456619262695,1.0,simNo_2-s_4-m_10-n_10.SC.ground,0.008922576904296875,19,81,4,2,0.0044612884521484375,,2,,optimality
15,6803527,10,10,16.0,1,BnB_RandomPartitioning_None_False,0.007968664169311523,1.0,simNo_2-s_4-m_10-n_10.SC.ground,0.005266666412353516,19,81,4,2,0.002633333206176758,,2,,optimality
16,9832773,10,10,16.0,9,PhISCS_I_,0.12524771690368652,1.0,simNo_3-s_4-m_10-n_10.SC.ground,0.023496389389038086,39,61,4,3,,,,,
17,9832773,10,10,16.0,9,PhISCS_B_,0.026605844497680664,1.0,simNo_3-s_4-m_10-n_10.SC.ground,0.0021779537200927734,39,61,4,3,,,,,
18,9832773,10,10,16.0,9,BnB_SubsampleLPBounding_0.1_True_-1,1.8226561546325684,1.0,simNo_3-s_4-m_10-n_10.SC.ground,1.7826716899871826,39,61,4,3,0.0017425920723237367,0.20759010314941406,1023,0.16663503646850586,optimality
19,9832773,10,10,16.0,9,BnB_SubsampleLPBounding_0.3_True_-1,1.3709943294525146,1.0,simNo_3-s_4-m_10-n_10.SC.ground,1.2286691665649414,39,61,4,3,0.0018616199493408203,0.24743294715881348,660,0.17345666885375977,optimality
20,9832773,10,10,16.0,9,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10166406631469727,1.0,simNo_3-s_4-m_10-n_10.SC.ground,0.036853790283203125,39,61,4,3,0.0036853790283203126,0.05723237991333008,10,0.018497467041015625,optimality
21,9832773,10,10,16.0,9,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.36518049240112305,1.0,simNo_3-s_4-m_10-n_10.SC.ground,0.24598240852355957,39,61,4,3,0.024598240852355957,0.10645651817321777,10,0.2279980182647705,optimality
22,9832773,10,10,16.0,9,BnB_DynamicMWMBounding_None_False,0.7581679821014404,1.0,simNo_3-s_4-m_10-n_10.SC.ground,0.7541220188140869,39,61,4,3,0.004488821540560041,,168,,optimality
23,9832773,10,10,16.0,9,BnB_RandomPartitioning_None_False,1.026386022567749,1.0,simNo_3-s_4-m_10-n_10.SC.ground,1.0233373641967773,39,61,4,3,0.0015388531792432743,,665,,optimality
24,6545491,10,10,16.0,0,PhISCS_I_,0.07559537887573242,1.0,simNo_4-s_4-m_10-n_10.SC.ground,0.01829671859741211,9,91,4,4,,,,,
25,6545491,10,10,16.0,0,PhISCS_B_,0.015124082565307617,1.0,simNo_4-s_4-m_10-n_10.SC.ground,0.000530242919921875,9,91,4,4,,,,,
26,6545491,10,10,16.0,0,BnB_SubsampleLPBounding_0.1_True_-1,0.023668527603149414,1.0,simNo_4-s_4-m_10-n_10.SC.ground,0.00036215782165527344,9,91,4,4,0.00036215782165527344,0.021682024002075195,1,0.0009524822235107422,optimality
27,6545491,10,10,16.0,0,BnB_SubsampleLPBounding_0.3_True_-1,0.03653430938720703,1.0,simNo_4-s_4-m_10-n_10.SC.ground,0.0005526542663574219,9,91,4,4,0.0005526542663574219,0.03220367431640625,1,0.002908945083618164,optimality
28,6545491,10,10,16.0,0,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.14626049995422363,1.0,simNo_4-s_4-m_10-n_10.SC.ground,0.0003361701965332031,9,91,4,4,0.0003361701965332031,0.1299586296081543,1,0.01524806022644043,optimality
29,6545491,10,10,16.0,0,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.07866477966308594,1.0,simNo_4-s_4-m_10-n_10.SC.ground,0.0005376338958740234,9,91,4,4,0.0005376338958740234,0.05972599983215332,1,0.017473697662353516,optimality
30,6545491,10,10,16.0,0,BnB_DynamicMWMBounding_None_False,0.002057313919067383,1.0,simNo_4-s_4-m_10-n_10.SC.ground,0.0002841949462890625,9,91,4,4,0.0002841949462890625,,1,,optimality
31,6545491,10,10,16.0,0,BnB_RandomPartitioning_None_False,0.0016884803771972656,1.0,simNo_4-s_4-m_10-n_10.SC.ground,0.00024700164794921875,9,91,4,4,0.00024700164794921875,,1,,optimality
32,7000834,10,10,16.0,1,PhISCS_I_,0.08429455757141113,1.0,simNo_5-s_4-m_10-n_10.SC.ground,0.019144058227539062,10,90,4,5,,,,,
33,7000834,10,10,16.0,1,PhISCS_B_,0.01496744155883789,1.0,simNo_5-s_4-m_10-n_10.SC.ground,0.0007448196411132812,10,90,4,5,,,,,
34,7000834,10,10,16.0,1,BnB_SubsampleLPBounding_0.1_True_-1,0.028051137924194336,1.0,simNo_5-s_4-m_10-n_10.SC.ground,0.0027060508728027344,10,90,4,5,0.0009020169576009115,0.02378225326538086,3,0.0012164115905761719,optimality
35,7000834,10,10,16.0,1,BnB_SubsampleLPBounding_0.3_True_-1,0.03207898139953613,1.0,simNo_5-s_4-m_10-n_10.SC.ground,0.002888202667236328,10,90,4,5,0.0009627342224121094,0.026356220245361328,3,0.002844572067260742,optimality
36,7000834,10,10,16.0,1,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.06793570518493652,1.0,simNo_5-s_4-m_10-n_10.SC.ground,0.00544285774230957,10,90,4,5,0.002721428871154785,0.04640698432922363,2,0.016985177993774414,optimality
37,7000834,10,10,16.0,1,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.08233404159545898,1.0,simNo_5-s_4-m_10-n_10.SC.ground,0.014536380767822266,10,90,4,5,0.007268190383911133,0.056673526763916016,2,0.022497177124023438,optimality
38,7000834,10,10,16.0,1,BnB_DynamicMWMBounding_None_False,0.0053882598876953125,1.0,simNo_5-s_4-m_10-n_10.SC.ground,0.0036475658416748047,10,90,4,5,0.0018237829208374023,,2,,optimality
39,7000834,10,10,16.0,1,BnB_RandomPartitioning_None_False,0.004187345504760742,1.0,simNo_5-s_4-m_10-n_10.SC.ground,0.0025930404663085938,10,90,4,5,0.0008643468221028646,,3,,optimality
40,4184238,10,10,16.0,0,PhISCS_I_,0.08197832107543945,1.0,simNo_6-s_4-m_10-n_10.SC.ground,0.02704620361328125,10,90,4,6,,,,,
41,4184238,10,10,16.0,0,PhISCS_B_,0.0279080867767334,1.0,simNo_6-s_4-m_10-n_10.SC.ground,0.0009410381317138672,10,90,4,6,,,,,
42,4184238,10,10,16.0,0,BnB_SubsampleLPBounding_0.1_True_-1,0.1009366512298584,1.0,simNo_6-s_4-m_10-n_10.SC.ground,0.0004596710205078125,10,90,4,6,0.0004596710205078125,0.09817981719970703,1,0.0013666152954101562,optimality
43,4184238,10,10,16.0,0,BnB_SubsampleLPBounding_0.3_True_-1,0.06381988525390625,1.0,simNo_6-s_4-m_10-n_10.SC.ground,0.0005381107330322266,10,90,4,6,0.0005381107330322266,0.05919671058654785,1,0.0030455589294433594,optimality
44,4184238,10,10,16.0,0,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11176395416259766,1.0,simNo_6-s_4-m_10-n_10.SC.ground,0.0003635883331298828,10,90,4,6,0.0003635883331298828,0.10069870948791504,1,0.009882688522338867,optimality
45,4184238,10,10,16.0,0,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.05619335174560547,1.0,simNo_6-s_4-m_10-n_10.SC.ground,0.0003542900085449219,10,90,4,6,0.0003542900085449219,0.04460716247558594,1,0.010531425476074219,optimality
46,4184238,10,10,16.0,0,BnB_DynamicMWMBounding_None_False,0.0018553733825683594,1.0,simNo_6-s_4-m_10-n_10.SC.ground,0.00021004676818847656,10,90,4,6,0.00021004676818847656,,1,,optimality
47,4184238,10,10,16.0,0,BnB_RandomPartitioning_None_False,0.0016188621520996094,1.0,simNo_6-s_4-m_10-n_10.SC.ground,0.00020384788513183594,10,90,4,6,0.00020384788513183594,,1,,optimality
48,9245805,10,10,16.0,4,PhISCS_I_,0.10189700126647949,1.0,simNo_7-s_4-m_10-n_10.SC.ground,0.02971029281616211,20,80,4,7,,,,,
49,9245805,10,10,16.0,4,PhISCS_B_,0.029396533966064453,1.0,simNo_7-s_4-m_10-n_10.SC.ground,0.002277374267578125,20,80,4,7,,,,,
50,9245805,10,10,16.0,4,BnB_SubsampleLPBounding_0.1_True_-1,0.07397580146789551,1.0,simNo_7-s_4-m_10-n_10.SC.ground,0.04403877258300781,20,80,4,7,0.0014206055671938003,0.029379844665527344,31,0.006094932556152344,optimality
51,9245805,10,10,16.0,4,BnB_SubsampleLPBounding_0.3_True_-1,0.12596988677978516,1.0,simNo_7-s_4-m_10-n_10.SC.ground,0.06129646301269531,20,80,4,7,0.0019773052584740425,0.06333708763122559,31,0.012723922729492188,optimality
52,9245805,10,10,16.0,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.13646411895751953,1.0,simNo_7-s_4-m_10-n_10.SC.ground,0.0199277400970459,20,80,4,7,0.003985548019409179,0.09908604621887207,5,0.022990703582763672,optimality
53,9245805,10,10,16.0,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.3105006217956543,1.0,simNo_7-s_4-m_10-n_10.SC.ground,0.13488984107971191,20,80,4,7,0.026977968215942384,0.1587979793548584,5,0.13564753532409668,optimality
54,9245805,10,10,16.0,4,BnB_DynamicMWMBounding_None_False,0.06034374237060547,1.0,simNo_7-s_4-m_10-n_10.SC.ground,0.0566861629486084,20,80,4,7,0.006298462549845378,,9,,optimality
