,hash,n,m,k,t,n_flips,method,runtime,cf,file_name,internal_time,num_ones_ground,num_ones_noisy,num_zeros_ground,num_zeros_noisy,s,simNo,termination_condition,avg_node_time,model_preparation_time,n_nodes,optimization_time
0,5425168,40,80,80.0,452.0,61,PhISCS_I_,45.36205744743347,1.0,simNo_1-s_10-m_80-n_40.SC.ground,32.11287188529968,633,553,2567,2647,10,1,optimality,,,,
1,5425168,40,80,80.0,452.0,61,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,477.1072301864624,1.0,simNo_1-s_10-m_80-n_40.SC.ground,452.7284438610077,633,553,2567,2647,10,1,time_limit,0.39852855973680257,15.603588581085205,1136,454.18714594841003
2,9950795,40,80,80.0,452.0,56,PhISCS_I_,265.1557514667511,1.0,simNo_2-s_10-m_80-n_40.SC.ground,251.4219515323639,763,683,2437,2517,10,2,optimality,,,,
3,9950795,40,80,80.0,452.0,57,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,476.8929636478424,1.0,simNo_2-s_10-m_80-n_40.SC.ground,452.57054924964905,763,683,2437,2517,10,2,time_limit,0.5472437113055006,16.728468418121338,827,454.77671933174133
4,5292162,40,80,80.0,452.0,54,PhISCS_I_,37.20747089385986,1.0,simNo_3-s_10-m_80-n_40.SC.ground,23.34973430633545,550,470,2650,2730,10,3,optimality,,,,
5,5292162,40,80,80.0,452.0,54,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,99.14224672317505,1.0,simNo_3-s_10-m_80-n_40.SC.ground,77.72583842277527,550,470,2650,2730,10,3,optimality,0.392554739508966,13.086593627929688,198,84.70185470581055
6,2101298,40,80,80.0,452.0,56,PhISCS_I_,44.65837335586548,1.0,simNo_4-s_10-m_80-n_40.SC.ground,31.192875146865845,586,506,2614,2694,10,4,optimality,,,,
7,2101298,40,80,80.0,452.0,56,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,475.2717137336731,1.0,simNo_4-s_10-m_80-n_40.SC.ground,452.2161009311676,586,506,2614,2694,10,4,time_limit,0.42904753409029184,13.964348316192627,1054,454.6066617965698
8,9350791,40,80,80.0,452.0,42,PhISCS_I_,68.23980736732483,1.0,simNo_5-s_10-m_80-n_40.SC.ground,54.961934089660645,320,240,2880,2960,10,5,optimality,,,,
9,9350791,40,80,80.0,452.0,42,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,72.2294442653656,1.0,simNo_5-s_10-m_80-n_40.SC.ground,49.20285201072693,320,240,2880,2960,10,5,optimality,0.600034780618621,13.492175340652466,82,58.05376863479614
10,7068145,40,80,80.0,452.0,56,PhISCS_I_,29.435620546340942,1.0,simNo_6-s_10-m_80-n_40.SC.ground,15.839922428131104,627,547,2573,2653,10,6,optimality,,,,
11,7068145,40,80,80.0,452.0,56,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,54.08373761177063,1.0,simNo_6-s_10-m_80-n_40.SC.ground,32.901233196258545,627,547,2573,2653,10,6,optimality,0.5772146174782201,13.007398843765259,57,40.3605694770813
12,530517,40,80,80.0,452.0,54,PhISCS_I_,44.411882400512695,1.0,simNo_7-s_10-m_80-n_40.SC.ground,31.152302742004395,600,520,2600,2680,10,7,optimality,,,,
13,530517,40,80,80.0,452.0,54,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,61.65647220611572,1.0,simNo_7-s_10-m_80-n_40.SC.ground,38.807480335235596,600,520,2600,2680,10,7,optimality,0.5174330711364746,13.602466106414795,75,47.377439737319946
14,9326483,40,80,80.0,452.0,60,PhISCS_I_,34.441792488098145,1.0,simNo_8-s_10-m_80-n_40.SC.ground,21.414212942123413,737,657,2463,2543,10,8,optimality,,,,
15,9326483,40,80,80.0,452.0,60,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,62.21754193305969,1.0,simNo_8-s_10-m_80-n_40.SC.ground,40.01545476913452,737,657,2463,2543,10,8,optimality,0.6559910617890905,13.383692264556885,61,48.10266304016113
16,9637402,40,80,80.0,452.0,49,PhISCS_I_,48.79016852378845,1.0,simNo_9-s_10-m_80-n_40.SC.ground,33.410032510757446,546,466,2654,2734,10,9,optimality,,,,
17,9637402,40,80,80.0,452.0,49,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,103.77474737167358,1.0,simNo_9-s_10-m_80-n_40.SC.ground,78.78943109512329,546,466,2654,2734,10,9,optimality,0.5433753868629192,15.67272663116455,145,87.0511634349823
18,1725377,40,80,80.0,452.0,63,PhISCS_I_,37.81053614616394,1.0,simNo_10-s_10-m_80-n_40.SC.ground,23.54937767982483,808,728,2392,2472,10,10,optimality,,,,
19,1725377,40,80,80.0,452.0,63,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,185.3232228755951,1.0,simNo_10-s_10-m_80-n_40.SC.ground,164.7838807106018,808,728,2392,2472,10,10,optimality,0.336293634103269,13.050962448120117,490,169.06065797805786
20,930944,40,80,80.0,452.0,63,PhISCS_I_,40.92258381843567,1.0,simNo_11-s_10-m_80-n_40.SC.ground,27.458460092544556,804,724,2396,2476,10,11,optimality,,,,
21,930944,40,80,80.0,452.0,63,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,71.03773355484009,1.0,simNo_11-s_10-m_80-n_40.SC.ground,49.85771560668945,804,724,2396,2476,10,11,optimality,0.6311103241353095,13.466776371002197,79,56.82523441314697
22,1437937,40,80,80.0,452.0,52,PhISCS_I_,97.59195971488953,1.0,simNo_12-s_10-m_80-n_40.SC.ground,83.86017489433289,563,483,2637,2717,10,12,optimality,,,,
23,1437937,40,80,80.0,452.0,52,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,475.0266971588135,1.0,simNo_12-s_10-m_80-n_40.SC.ground,452.6422278881073,563,483,2637,2717,10,12,time_limit,0.35279986585199324,13.91242003440857,1283,452.90253806114197
24,6769243,40,80,80.0,452.0,54,PhISCS_I_,42.06762719154358,1.0,simNo_13-s_10-m_80-n_40.SC.ground,28.267510652542114,746,666,2454,2534,10,13,optimality,,,,
25,6769243,40,80,80.0,452.0,54,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,104.76529359817505,1.0,simNo_13-s_10-m_80-n_40.SC.ground,82.99354982376099,746,666,2454,2534,10,13,optimality,0.5684489713956232,13.56153392791748,146,89.78861212730408
26,333215,40,80,80.0,452.0,59,PhISCS_I_,36.07403564453125,1.0,simNo_14-s_10-m_80-n_40.SC.ground,22.37621521949768,718,638,2482,2562,10,14,optimality,,,,
27,333215,40,80,80.0,452.0,59,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,65.89787912368774,1.0,simNo_14-s_10-m_80-n_40.SC.ground,43.522876024246216,718,638,2482,2562,10,14,optimality,0.6594375155188821,13.606680393218994,66,51.51036477088928
28,7077729,40,80,80.0,452.0,66,PhISCS_I_,40.19320249557495,1.0,simNo_15-s_10-m_80-n_40.SC.ground,26.751385927200317,1075,995,2125,2205,10,15,optimality,,,,
29,7077729,40,80,80.0,452.0,66,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,240.81304335594177,1.0,simNo_15-s_10-m_80-n_40.SC.ground,220.3251359462738,1075,995,2125,2205,10,15,optimality,0.3353502830232478,13.357029914855957,657,223.0658392906189
30,3725481,40,80,80.0,452.0,68,PhISCS_I_,55.07494807243347,1.0,simNo_16-s_10-m_80-n_40.SC.ground,41.82596158981323,940,860,2260,2340,10,16,optimality,,,,
31,3725481,40,80,80.0,452.0,68,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,205.07597017288208,1.0,simNo_16-s_10-m_80-n_40.SC.ground,183.20525217056274,940,860,2260,2340,10,16,optimality,0.32311331952480205,13.682475328445435,567,187.87431478500366
32,709220,40,80,80.0,452.0,49,PhISCS_I_,40.37573766708374,1.0,simNo_17-s_10-m_80-n_40.SC.ground,27.326162576675415,621,541,2579,2659,10,17,optimality,,,,
33,709220,40,80,80.0,452.0,49,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,47.713702917099,1.0,simNo_17-s_10-m_80-n_40.SC.ground,27.019486665725708,621,541,2579,2659,10,17,optimality,0.5297938561907002,12.852539539337158,51,34.244900703430176
34,2690926,40,80,80.0,452.0,48,PhISCS_I_,283.2535665035248,1.0,simNo_18-s_10-m_80-n_40.SC.ground,269.9508457183838,504,424,2696,2776,10,18,optimality,,,,
35,2690926,40,80,80.0,452.0,48,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,475.77448654174805,1.0,simNo_18-s_10-m_80-n_40.SC.ground,452.7046000957489,504,424,2696,2776,10,18,time_limit,0.5841349678654825,13.938232183456421,775,456.6172857284546
36,6956985,40,80,80.0,452.0,57,PhISCS_I_,47.40714764595032,1.0,simNo_19-s_10-m_80-n_40.SC.ground,34.10786294937134,605,525,2595,2675,10,19,optimality,,,,
37,6956985,40,80,80.0,452.0,57,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,474.96642231941223,1.0,simNo_19-s_10-m_80-n_40.SC.ground,452.32264518737793,605,525,2595,2675,10,19,time_limit,0.42392000486164755,14.047880411148071,1067,453.89127135276794
38,8552338,40,80,80.0,452.0,64,PhISCS_I_,40.20967984199524,1.0,simNo_20-s_10-m_80-n_40.SC.ground,26.832697868347168,1116,1036,2084,2164,10,20,optimality,,,,
39,8552338,40,80,80.0,452.0,64,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,473.4457836151123,1.0,simNo_20-s_10-m_80-n_40.SC.ground,452.57438015937805,1116,1036,2084,2164,10,20,time_limit,0.36148113431260226,14.128063201904297,1252,450.8424232006073
40,4870895,40,80,80.0,452.0,68,PhISCS_I_,35.2983283996582,1.0,simNo_21-s_10-m_80-n_40.SC.ground,22.008779048919678,742,662,2458,2538,10,21,optimality,,,,
41,4870895,40,80,80.0,452.0,68,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,71.94331407546997,1.0,simNo_21-s_10-m_80-n_40.SC.ground,50.22914099693298,742,662,2458,2538,10,21,optimality,0.5581015666325887,13.244023561477661,90,57.82844305038452
42,4812043,40,80,80.0,452.0,46,PhISCS_I_,230.7497477531433,1.0,simNo_22-s_10-m_80-n_40.SC.ground,217.2454342842102,433,353,2767,2847,10,22,optimality,,,,
43,4812043,40,80,80.0,452.0,46,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,475.52733397483826,1.0,simNo_22-s_10-m_80-n_40.SC.ground,452.24297881126404,433,353,2767,2847,10,22,time_limit,0.5590148069360494,13.906277418136597,809,456.2432928085327
44,8612770,40,80,80.0,452.0,58,PhISCS_I_,48.43546462059021,1.0,simNo_23-s_10-m_80-n_40.SC.ground,35.096176862716675,743,663,2457,2537,10,23,optimality,,,,
45,8612770,40,80,80.0,452.0,58,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,474.45683312416077,1.0,simNo_23-s_10-m_80-n_40.SC.ground,452.53377294540405,743,663,2457,2537,10,23,time_limit,0.38711186736133796,13.547665357589722,1169,453.43548703193665
46,960359,40,80,80.0,452.0,41,PhISCS_I_,30.26500177383423,1.0,simNo_24-s_10-m_80-n_40.SC.ground,16.97089982032776,568,488,2632,2712,10,24,optimality,,,,
47,960359,40,80,80.0,452.0,41,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,49.02306127548218,1.0,simNo_24-s_10-m_80-n_40.SC.ground,26.488361358642578,568,488,2632,2712,10,24,optimality,0.630675270443871,13.519446849822998,42,34.990607500076294
48,5460295,40,80,80.0,452.0,45,PhISCS_I_,105.17479801177979,1.0,simNo_25-s_10-m_80-n_40.SC.ground,91.57088041305542,451,371,2749,2829,10,25,optimality,,,,
49,5460295,40,80,80.0,452.0,45,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,477.2785348892212,1.0,simNo_25-s_10-m_80-n_40.SC.ground,453.0748379230499,451,371,2749,2829,10,25,time_limit,0.5579739383288792,15.859808683395386,812,455.9700696468353
50,6475075,40,80,80.0,452.0,52,PhISCS_I_,39.526479959487915,1.0,simNo_26-s_10-m_80-n_40.SC.ground,26.25992226600647,551,471,2649,2729,10,26,optimality,,,,
51,6475075,40,80,80.0,452.0,52,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,75.50416445732117,1.0,simNo_26-s_10-m_80-n_40.SC.ground,51.265578746795654,551,471,2649,2729,10,26,optimality,0.6329083795900698,14.338793516159058,81,60.3771653175354
52,4860727,40,80,80.0,452.0,44,PhISCS_I_,37.13440537452698,1.0,simNo_27-s_10-m_80-n_40.SC.ground,24.010493278503418,481,401,2719,2799,10,27,optimality,,,,
53,4860727,40,80,80.0,452.0,44,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,55.83342885971069,1.0,simNo_27-s_10-m_80-n_40.SC.ground,33.59735941886902,481,401,2719,2799,10,27,optimality,0.7466079870859782,13.143266201019287,45,42.12687277793884
54,9658145,40,80,80.0,452.0,56,PhISCS_I_,36.46311640739441,1.0,simNo_28-s_10-m_80-n_40.SC.ground,23.154256343841553,697,617,2503,2583,10,28,optimality,,,,
55,9658145,40,80,80.0,452.0,56,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,61.824300050735474,1.0,simNo_28-s_10-m_80-n_40.SC.ground,39.480045557022095,697,617,2503,2583,10,28,optimality,0.4245166188927107,13.32432746887207,93,47.65506315231323
56,920047,40,80,80.0,452.0,54,PhISCS_I_,44.255207777023315,1.0,simNo_29-s_10-m_80-n_40.SC.ground,31.1565158367157,545,465,2655,2735,10,29,optimality,,,,
57,920047,40,80,80.0,452.0,54,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,74.43393683433533,1.0,simNo_29-s_10-m_80-n_40.SC.ground,52.34584403038025,545,465,2655,2735,10,29,optimality,0.5234584403038025,13.164882183074951,100,60.40112638473511
58,914800,40,80,80.0,452.0,62,PhISCS_I_,85.46996188163757,1.0,simNo_30-s_10-m_80-n_40.SC.ground,71.95045566558838,862,782,2338,2418,10,30,optimality,,,,
59,914800,40,80,80.0,452.0,62,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,473.873726606369,1.0,simNo_30-s_10-m_80-n_40.SC.ground,452.6934218406677,862,782,2338,2418,10,30,time_limit,0.3187981843948364,14.316041469573975,1420,449.4626452922821
60,5138806,40,80,80.0,452.0,45,PhISCS_I_,43.31745672225952,1.0,simNo_31-s_10-m_80-n_40.SC.ground,29.9133722782135,458,378,2742,2822,10,31,optimality,,,,
61,5138806,40,80,80.0,452.0,45,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,171.87677240371704,1.0,simNo_31-s_10-m_80-n_40.SC.ground,148.87673687934875,458,378,2742,2822,10,31,optimality,0.33305757691129473,13.492350101470947,447,155.51555514335632
62,843639,40,80,80.0,452.0,58,PhISCS_I_,47.51259899139404,1.0,simNo_32-s_10-m_80-n_40.SC.ground,34.28110480308533,783,703,2417,2497,10,32,optimality,,,,
63,843639,40,80,80.0,452.0,58,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,474.78485107421875,1.0,simNo_32-s_10-m_80-n_40.SC.ground,452.7955882549286,783,703,2417,2497,10,32,time_limit,0.41088528879757585,14.010938167572021,1102,453.00336146354675
64,2882067,40,80,80.0,452.0,55,PhISCS_I_,273.63995909690857,1.0,simNo_33-s_10-m_80-n_40.SC.ground,260.20716094970703,559,479,2641,2721,10,33,optimality,,,,
65,2882067,40,80,80.0,452.0,56,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,473.34147214889526,1.0,simNo_33-s_10-m_80-n_40.SC.ground,452.5996353626251,559,479,2641,2721,10,33,time_limit,0.5394512936384089,13.210638999938965,839,454.4165859222412
66,5910661,40,80,80.0,452.0,59,PhISCS_I_,278.4009084701538,1.0,simNo_34-s_10-m_80-n_40.SC.ground,264.40327167510986,584,504,2616,2696,10,34,optimality,,,,
67,5910661,40,80,80.0,452.0,60,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,475.5344171524048,1.0,simNo_34-s_10-m_80-n_40.SC.ground,452.4197540283203,584,504,2616,2696,10,34,time_limit,0.4772360274560341,14.295755863189697,948,454.8678951263428
68,9899931,40,80,80.0,452.0,53,PhISCS_I_,56.6095495223999,1.0,simNo_35-s_10-m_80-n_40.SC.ground,40.949713468551636,537,457,2663,2743,10,35,optimality,,,,
69,9899931,40,80,80.0,452.0,53,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,71.75689601898193,1.0,simNo_35-s_10-m_80-n_40.SC.ground,49.43550229072571,537,457,2663,2743,10,35,optimality,0.7062214612960815,13.556647300720215,70,57.47008728981018
70,4427173,40,80,80.0,452.0,62,PhISCS_I_,44.27002930641174,1.0,simNo_36-s_10-m_80-n_40.SC.ground,30.823665380477905,691,611,2509,2589,10,36,optimality,,,,
71,4427173,40,80,80.0,452.0,62,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,217.70535349845886,1.0,simNo_36-s_10-m_80-n_40.SC.ground,195.23710107803345,691,611,2509,2589,10,36,optimality,0.543835936150511,13.833968877792358,359,201.50109386444092
72,6868078,40,80,80.0,452.0,56,PhISCS_I_,107.87931728363037,1.0,simNo_37-s_10-m_80-n_40.SC.ground,94.59246182441711,794,714,2406,2486,10,37,optimality,,,,
73,6868078,40,80,80.0,452.0,56,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,474.44872665405273,1.0,simNo_37-s_10-m_80-n_40.SC.ground,452.5908923149109,794,714,2406,2486,10,37,time_limit,0.41107256341045495,13.619443893432617,1101,454.25405979156494
74,4692757,40,80,80.0,452.0,67,PhISCS_I_,41.24837827682495,1.0,simNo_38-s_10-m_80-n_40.SC.ground,27.221627712249756,1181,1101,2019,2099,10,38,optimality,,,,
75,4692757,40,80,80.0,452.0,67,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,169.68420267105103,1.0,simNo_38-s_10-m_80-n_40.SC.ground,148.71255373954773,1181,1101,2019,2099,10,38,optimality,0.5854824950375895,13.744189023971558,254,154.0605447292328
76,1941389,40,80,80.0,452.0,51,PhISCS_I_,37.41744351387024,1.0,simNo_39-s_10-m_80-n_40.SC.ground,24.37187695503235,658,578,2542,2622,10,39,optimality,,,,
77,1941389,40,80,80.0,452.0,51,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,62.782824993133545,1.0,simNo_39-s_10-m_80-n_40.SC.ground,41.38739728927612,658,578,2542,2622,10,39,optimality,0.7959114863322332,13.105830192565918,52,49.00725865364075
78,2522856,40,80,80.0,452.0,57,PhISCS_I_,38.69548416137695,1.0,simNo_40-s_10-m_80-n_40.SC.ground,22.851100206375122,608,528,2592,2672,10,40,optimality,,,,
79,2522856,40,80,80.0,452.0,57,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,279.604736328125,1.0,simNo_40-s_10-m_80-n_40.SC.ground,257.55722427368164,608,528,2592,2672,10,40,optimality,0.40560192799004985,13.78040099143982,635,261.4227247238159
80,7800594,40,80,80.0,452.0,54,PhISCS_I_,33.11761403083801,1.0,simNo_41-s_10-m_80-n_40.SC.ground,20.345250129699707,595,515,2605,2685,10,41,optimality,,,,
81,7800594,40,80,80.0,452.0,54,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,52.259044885635376,1.0,simNo_41-s_10-m_80-n_40.SC.ground,30.8660945892334,595,515,2605,2685,10,41,optimality,0.5612017198042436,13.036545515060425,55,38.53978967666626
82,8460770,40,80,80.0,452.0,63,PhISCS_I_,35.0118203163147,1.0,simNo_42-s_10-m_80-n_40.SC.ground,20.907477617263794,779,699,2421,2501,10,42,optimality,,,,
83,8460770,40,80,80.0,452.0,62,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,63.535386085510254,1.0,simNo_42-s_10-m_80-n_40.SC.ground,41.96202373504639,779,699,2421,2501,10,42,optimality,0.6660638688102601,13.290673971176147,63,49.48783016204834
84,6006002,40,80,80.0,452.0,59,PhISCS_I_,41.654927015304565,1.0,simNo_43-s_10-m_80-n_40.SC.ground,28.641971111297607,671,591,2529,2609,10,43,optimality,,,,
85,6006002,40,80,80.0,452.0,59,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,67.80628228187561,1.0,simNo_43-s_10-m_80-n_40.SC.ground,44.81467270851135,671,591,2529,2609,10,43,optimality,0.5672743380824222,14.994560480117798,79,51.99990677833557
86,2643584,40,80,80.0,452.0,57,PhISCS_I_,35.57408595085144,1.0,simNo_44-s_10-m_80-n_40.SC.ground,21.78182053565979,871,791,2329,2409,10,44,optimality,,,,
87,2643584,40,80,80.0,452.0,57,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,45.77073550224304,1.0,simNo_44-s_10-m_80-n_40.SC.ground,25.17802119255066,871,791,2329,2409,10,44,optimality,0.43410381366466655,13.23833680152893,58,31.8134286403656
88,3502714,40,80,80.0,452.0,53,PhISCS_I_,85.82780861854553,1.0,simNo_45-s_10-m_80-n_40.SC.ground,72.55917644500732,583,503,2617,2697,10,45,optimality,,,,
89,3502714,40,80,80.0,452.0,53,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,272.0615348815918,1.0,simNo_45-s_10-m_80-n_40.SC.ground,250.2889473438263,583,503,2617,2697,10,45,optimality,0.5087173726500535,13.363263130187988,492,255.69317770004272
90,8031582,40,80,80.0,452.0,57,PhISCS_I_,32.87837314605713,1.0,simNo_46-s_10-m_80-n_40.SC.ground,19.956871271133423,737,657,2463,2543,10,46,optimality,,,,
91,8031582,40,80,80.0,452.0,57,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,68.29032444953918,1.0,simNo_46-s_10-m_80-n_40.SC.ground,45.769423723220825,737,657,2463,2543,10,46,optimality,0.7891279952279453,14.048044443130493,58,53.53464722633362
92,2891034,40,80,80.0,452.0,57,PhISCS_I_,46.01400399208069,1.0,simNo_47-s_10-m_80-n_40.SC.ground,32.43792200088501,814,734,2386,2466,10,47,optimality,,,,
93,2891034,40,80,80.0,452.0,57,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,474.3536310195923,1.0,simNo_47-s_10-m_80-n_40.SC.ground,452.6578414440155,814,734,2386,2466,10,47,time_limit,0.5173232473645891,13.799418210983276,875,454.86207389831543
94,1944330,40,80,80.0,452.0,54,PhISCS_I_,32.93394184112549,1.0,simNo_48-s_10-m_80-n_40.SC.ground,19.516635417938232,786,706,2414,2494,10,48,optimality,,,,
95,1944330,40,80,80.0,452.0,54,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,49.58638787269592,1.0,simNo_48-s_10-m_80-n_40.SC.ground,28.487281322479248,786,706,2414,2494,10,48,optimality,0.5179505694996227,13.109581470489502,55,35.83371353149414
96,1431138,40,80,80.0,452.0,66,PhISCS_I_,35.99477171897888,1.0,simNo_49-s_10-m_80-n_40.SC.ground,22.726409673690796,1034,954,2166,2246,10,49,optimality,,,,
97,1431138,40,80,80.0,452.0,66,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,66.33637309074402,1.0,simNo_49-s_10-m_80-n_40.SC.ground,45.86324620246887,1034,954,2166,2246,10,49,optimality,0.5271637494536652,13.058947086334229,87,52.46592831611633
98,715134,40,80,80.0,452.0,65,PhISCS_I_,228.64343881607056,1.0,simNo_50-s_10-m_80-n_40.SC.ground,215.16098546981812,765,685,2435,2515,10,50,optimality,,,,
99,715134,40,80,80.0,452.0,66,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,473.6202027797699,1.0,simNo_50-s_10-m_80-n_40.SC.ground,452.0491442680359,765,685,2435,2515,10,50,time_limit,0.5067815518699954,13.846062183380127,892,453.1015808582306
100,7026326,40,80,80.0,452.0,60,PhISCS_I_,30.371553421020508,1.0,simNo_51-s_10-m_80-n_40.SC.ground,16.82105255126953,1032,952,2168,2248,10,51,optimality,,,,
101,7026326,40,80,80.0,452.0,60,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,50.27772116661072,1.0,simNo_51-s_10-m_80-n_40.SC.ground,29.592329502105713,1032,952,2168,2248,10,51,optimality,0.4851201557722248,13.046024084091187,61,36.50089192390442
102,7153836,40,80,80.0,452.0,62,PhISCS_I_,48.21438670158386,1.0,simNo_52-s_10-m_80-n_40.SC.ground,32.46116900444031,948,868,2252,2332,10,52,optimality,,,,
103,7153836,40,80,80.0,452.0,62,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,473.14781284332275,1.0,simNo_52-s_10-m_80-n_40.SC.ground,452.2361319065094,948,868,2252,2332,10,52,time_limit,0.4063217717039617,13.728848695755005,1113,452.8061001300812
104,8150274,40,80,80.0,452.0,49,PhISCS_I_,49.21675753593445,1.0,simNo_53-s_10-m_80-n_40.SC.ground,33.2953896522522,467,387,2733,2813,10,53,optimality,,,,
105,8150274,40,80,80.0,452.0,49,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,56.94160342216492,1.0,simNo_53-s_10-m_80-n_40.SC.ground,34.79090881347656,467,387,2733,2813,10,53,optimality,0.4518299845906047,13.406605243682861,77,42.834317445755005
106,2611191,40,80,80.0,452.0,64,PhISCS_I_,172.24086499214172,1.0,simNo_54-s_10-m_80-n_40.SC.ground,158.6724317073822,874,794,2326,2406,10,54,optimality,,,,
107,2611191,40,80,80.0,452.0,64,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,474.19558024406433,1.0,simNo_54-s_10-m_80-n_40.SC.ground,452.3892755508423,874,794,2326,2406,10,54,time_limit,0.579986250706208,14.103215456008911,780,454.50458455085754
108,8178109,40,80,80.0,452.0,61,PhISCS_I_,46.15794324874878,1.0,simNo_55-s_10-m_80-n_40.SC.ground,32.417948722839355,656,576,2544,2624,10,55,optimality,,,,
109,8178109,40,80,80.0,452.0,61,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,229.19137859344482,1.0,simNo_55-s_10-m_80-n_40.SC.ground,205.11784553527832,656,576,2544,2624,10,55,optimality,0.49545373317700075,15.694209575653076,414,211.06868386268616
110,8259932,40,80,80.0,452.0,50,PhISCS_I_,219.15695714950562,1.0,simNo_56-s_10-m_80-n_40.SC.ground,206.05718684196472,460,380,2740,2820,10,56,optimality,,,,
111,8259932,40,80,80.0,452.0,50,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,301.7364413738251,1.0,simNo_56-s_10-m_80-n_40.SC.ground,278.8063669204712,460,380,2740,2820,10,56,optimality,0.5078440198915687,13.54731273651123,549,284.86113238334656
112,7257590,40,80,80.0,452.0,53,PhISCS_I_,47.57909083366394,1.0,simNo_57-s_10-m_80-n_40.SC.ground,34.336416482925415,552,472,2648,2728,10,57,optimality,,,,
