,hash,n,m,n_flips,method,runtime,cf,internal_time,avg_node_time,model_preparation_time,n_nodes,optimization_time,termination_condition
0,2753169,200,200,19,PhISCS_I_,1085.5816450119019,1.0,468.9033942222595,,,,,
1,2753169,200,200,19,PhISCS_B_,132.13166785240173,1.0,2.5908408164978027,,,,,
2,2753169,200,200,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1542.0543506145477,1.0,465.8947326987982,23.29473663493991,595.3837425708771,20,943.3331589698792,optimality
3,5222072,200,200,14,PhISCS_I_,1064.0020055770874,1.0,449.4394931793213,,,,,
4,5222072,200,200,14,PhISCS_B_,131.1979455947876,1.0,2.237769603729248,,,,,
5,5222072,200,200,14,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1585.7090201377869,1.0,451.15365969389677,30.076910646259783,748.5143356323242,15,834.4253342151642,optimality
6,8609877,200,200,13,PhISCS_I_,1116.059270620346,1.0,449.6683521270752,,,,,
7,8609877,200,200,13,PhISCS_B_,119.1620147228241,1.0,2.224536895751953,,,,,
8,8609877,200,200,13,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1539.631469488144,1.0,315.6923057883978,22.549450413456984,618.7948787212372,14,918.9195861816406,optimality
9,5880930,200,200,4,PhISCS_I_,1011.4996933937073,1.0,428.9854347705841,,,,,
10,5880930,200,200,4,PhISCS_B_,118.66354584693909,1.0,1.6381561756134033,,,,,
11,5880930,200,200,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1153.1341478824615,1.0,92.91425712406635,18.58285142481327,588.3462026119232,5,564.150265455246,optimality
12,4179758,200,200,12,PhISCS_I_,1028.8489151000977,1.0,434.74736404418945,,,,,
13,4179758,200,200,12,PhISCS_B_,120.5252628326416,1.0,1.967700719833374,,,,,
14,4179758,200,200,12,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1190.3671517372131,1.0,323.41026178747416,24.87771244519032,595.7439122200012,13,592.6419107913971,optimality
15,4268283,200,200,13,PhISCS_I_,1169.698236465454,1.0,483.5235469341278,,,,,
16,4268283,200,200,13,PhISCS_B_,169.552499294281,1.0,2.5837759971618652,,,,,
17,4268283,200,200,13,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1556.015337228775,1.0,376.26541597396135,26.87610114099724,709.1857621669769,14,844.6503458023071,optimality
18,9146751,200,200,9,PhISCS_I_,1020.433869600296,1.0,460.10458183288574,,,,,
19,9146751,200,200,9,PhISCS_B_,114.33473038673401,1.0,2.192674160003662,,,,,
20,9146751,200,200,9,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1285.6033160686493,1.0,319.19499269127846,31.919499269127847,540.2375037670135,10,743.864235162735,optimality
21,7089771,200,200,17,PhISCS_I_,997.607982635498,1.0,434.7609875202179,,,,,
22,7089771,200,200,17,PhISCS_B_,121.07298398017883,1.0,2.526310443878174,,,,,
23,7089771,200,200,17,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1497.9329760074615,1.0,464.787080951035,25.821504497279722,574.8203785419464,18,920.6423587799072,optimality
24,8598822,200,200,7,PhISCS_I_,962.5926113128662,1.0,425.48267245292664,,,,,
25,8598822,200,200,7,PhISCS_B_,112.17199635505676,1.0,1.7146360874176025,,,,,
26,8598822,200,200,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1261.3770406246185,1.0,231.18250393867493,28.897812992334366,550.6077673435211,8,709.2751700878143,optimality
27,4900337,200,200,7,PhISCS_I_,1307.0526475906372,1.0,590.0201156139374,,,,,
28,4900337,200,200,7,PhISCS_B_,130.37595319747925,1.0,1.7751212120056152,,,,,
29,4900337,200,200,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1202.2143776416779,1.0,152.83711176365614,19.104638970457017,584.8167834281921,8,616.5255870819092,optimality
