hash,n,m,k,t,n_flips,runtime,file_name,internal_time,num_ones_noisy,num_zeros_noisy,Experiment_File  Name
8374281,20,20,None,120,8,0.881762505,simNo_1-s_10-m_20-n_20-k_15.SC.noisy,0.206017733,63,337,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9523302,20,20,None,120,2,0.551893950,simNo_1-s_10-m_20-n_20-k_3.SC.noisy,0.130298138,75,325,"cmp_algs_None,None,1_11-14-20-44-39.csv"
5246602,20,20,None,120,2,0.578276873,simNo_1-s_10-m_20-n_20-k_7.SC.noisy,0.133769751,71,329,"cmp_algs_None,None,1_11-14-20-44-39.csv"
5680425,40,20,None,120,6,1.133350849,simNo_1-s_10-m_20-n_40-k_16.SC.noisy,0.275317192,145,655,"cmp_algs_None,None,1_11-14-20-44-39.csv"
5737741,40,20,None,120,12,1.132090330,simNo_1-s_10-m_20-n_40-k_32.SC.noisy,0.273575306,129,671,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9720651,40,20,None,120,3,1.135952473,simNo_1-s_10-m_20-n_40-k_8.SC.noisy,0.277822256,153,647,"cmp_algs_None,None,1_11-14-20-44-39.csv"
7668863,80,20,None,120,10,2.287615776,simNo_1-s_10-m_20-n_80-k_17.SC.noisy,0.585480928,339,1261,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9246191,80,20,None,120,21,2.297232151,simNo_1-s_10-m_20-n_80-k_35.SC.noisy,0.593891382,321,1279,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1131222,80,20,None,120,45,2.568241358,simNo_1-s_10-m_20-n_80-k_71.SC.noisy,0.844541788,285,1315,"cmp_algs_None,None,1_11-14-20-44-39.csv"
4223235,20,40,None,120,7,2.291841269,simNo_1-s_10-m_40-n_20-k_10.SC.noisy,0.582241297,205,595,"cmp_algs_None,None,1_11-14-20-44-39.csv"
2543275,20,40,None,120,16,2.341973543,simNo_1-s_10-m_40-n_20-k_21.SC.noisy,0.621310234,194,606,"cmp_algs_None,None,1_11-14-20-44-39.csv"
