,hash,n,m,nf,method,runtime,cf,internalTime,avgNodeTime,modelPreperationTime,nNodes,optimizationTime,terminationCond
0,2241765,4,25,5,PhISCS_I_,0.18486595153808594,1.0,0.050865888595581055,,,,,
1,2241765,4,25,5,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.33202505111694336,1.0,0.1649165153503418,0.027486085891723633,0.14322328567504883,6,0.17089629173278809,optimality
2,2241765,4,25,5,BnB_DynamicMWMBounding_None_False,0.07053542137145996,1.0,0.06430220603942871,0.0071446895599365234,,9,,optimality
3,2441139,4,25,13,PhISCS_I_,0.5059773921966553,1.0,0.3789832592010498,,,,,
4,2441139,4,25,13,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,3.0218636989593506,1.0,2.877737283706665,0.02480808003195401,0.15305495262145996,116,2.7183587551116943,optimality
5,2441139,4,25,13,BnB_DynamicMWMBounding_None_False,14.032942533493042,1.0,14.027074813842773,0.011544917542257426,,1215,,optimality
6,1156594,4,25,10,PhISCS_I_,0.2394089698791504,1.0,0.11376452445983887,,,,,
7,1156594,4,25,10,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.45188450813293457,1.0,0.3170011043548584,0.028818282214078037,0.11925435066223145,11,0.3116884231567383,optimality
8,1156594,4,25,10,BnB_DynamicMWMBounding_None_False,1.118415355682373,1.0,1.1101374626159668,0.012473454636134458,,89,,optimality
9,3207826,4,25,12,PhISCS_I_,0.531207799911499,1.0,0.3759913444519043,,,,,
10,3207826,4,25,12,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,2.0597734451293945,1.0,1.9215774536132812,0.02208709716796875,0.13143038749694824,87,1.8346176147460938,optimality
11,3207826,4,25,12,BnB_DynamicMWMBounding_None_False,8.580761432647705,1.0,8.574325323104858,0.011193636192042895,,766,,optimality
12,872623,4,25,16,PhISCS_I_,0.5829267501831055,1.0,0.45585179328918457,,,,,
13,872623,4,25,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,1.3961541652679443,1.0,1.226081371307373,0.024040811202105355,0.15926146507263184,51,1.173903226852417,optimality
14,872623,4,25,17,BnB_DynamicMWMBounding_None_False,60.019397497177124,1.0,60.01180624961853,0.01613220598108025,,3720,,time_limit
15,513370,4,25,16,PhISCS_I_,0.4087378978729248,1.0,0.2822988033294678,,,,,
