,hash,n,m,nf,method,runtime,cf,internalTime,avgNodeTime,modelPreperationTime,nNodes,optimizationTime,terminationCond
0,5178379,5,20,22,PhISCS_I_,0.4111511707305908,1.0,0.3019282817840576,,,,,
1,5178379,5,20,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,16.76519536972046,1.0,16.648938179016113,0.0216783049205939,0.3340592384338379,768,15.573859930038452,optimality
2,5178379,5,20,22,BnB_DynamicMWMBounding_None_False,60.03381276130676,1.0,60.026320934295654,0.013821395563964,,4343,,time_limit
3,6394597,5,20,15,PhISCS_I_,0.23650908470153809,1.0,0.10910844802856445,,,,,
4,6394597,5,20,15,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,1.2097914218902588,1.0,1.0967938899993896,0.028122920256394606,0.10485076904296875,39,1.0475821495056152,optimality
5,6394597,5,20,16,BnB_DynamicMWMBounding_None_False,60.0058217048645,1.0,60.00075888633728,0.012547210139342803,,4782,,time_limit
6,1349941,5,20,20,PhISCS_I_,0.2752053737640381,1.0,0.17953038215637207,,,,,
7,1349941,5,20,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.7440626621246338,1.0,0.6330413818359375,0.024347745455228366,0.0995185375213623,26,0.6054871082305908,optimality
8,1349941,5,20,21,BnB_DynamicMWMBounding_None_False,60.011420249938965,1.0,60.005449295043945,0.014649767894297838,,4096,,time_limit
9,3274057,5,20,16,PhISCS_I_,0.37714695930480957,1.0,0.28043603897094727,,,,,
10,3274057,5,20,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,3.4322304725646973,1.0,3.2866132259368896,0.02567666582763195,0.15322160720825195,128,3.1327154636383057,optimality
11,3274057,5,20,16,BnB_DynamicMWMBounding_None_False,9.02923846244812,1.0,9.023865461349487,0.009115015617524735,,990,,optimality
12,4146388,5,20,16,PhISCS_I_,0.283433198928833,1.0,0.18819236755371094,,,,,
13,4146388,5,20,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.7775452136993408,1.0,0.6668922901153564,0.028995316961537235,0.09544086456298828,23,0.647864818572998,optimality
14,4146388,5,20,16,BnB_DynamicMWMBounding_None_False,29.375385999679565,1.0,29.370572805404663,0.011283354900270711,,2603,,optimality
15,7023626,5,20,23,PhISCS_I_,0.4831063747406006,1.0,0.3553283214569092,,,,,
16,7023626,5,20,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,60.13387084007263,1.0,60.02242684364319,0.020506466294377582,1.1244473457336426,2927,56.03759002685547,time_limit
17,7023626,5,20,23,BnB_DynamicMWMBounding_None_False,60.009127378463745,1.0,60.003169298172,0.015248581778442693,,3935,,time_limit
18,2942619,5,20,23,PhISCS_I_,0.4669930934906006,1.0,0.3691229820251465,,,,,
19,2942619,5,20,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,3.846348285675049,1.0,3.728182554244995,0.0248545503616333,0.13219261169433594,150,3.551013946533203,optimality
20,2942619,5,20,23,BnB_DynamicMWMBounding_None_False,60.00669026374817,1.0,60.001333713531494,0.013605744606242968,,4410,,time_limit
21,4045226,5,20,17,PhISCS_I_,0.3251659870147705,1.0,0.22800970077514648,,,,,
22,4045226,5,20,17,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.8304460048675537,1.0,0.6867399215698242,0.031215450980446556,0.12890911102294922,22,0.6648881435394287,optimality
23,4045226,5,20,17,BnB_DynamicMWMBounding_None_False,46.11034059524536,1.0,46.10419034957886,0.01213907065549733,,3798,,optimality
24,2284484,5,20,18,PhISCS_I_,0.32053399085998535,1.0,0.2239699363708496,,,,,
25,2284484,5,20,18,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.8241801261901855,1.0,0.7106451988220215,0.0338402475629534,0.10003829002380371,21,0.6877210140228271,optimality
26,2284484,5,20,18,BnB_DynamicMWMBounding_None_False,60.007807970047,1.0,60.002387046813965,0.011448652365352788,,5241,,time_limit
27,2308375,5,20,13,PhISCS_I_,0.2291262149810791,1.0,0.0989530086517334,,,,,
28,2308375,5,20,13,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.6367359161376953,1.0,0.5265588760375977,0.035103925069173175,0.09393811225891113,15,0.5146796703338623,optimality
29,2308375,5,20,13,BnB_DynamicMWMBounding_None_False,0.9569931030273438,1.0,0.9514038562774658,0.010341346263885498,,92,,optimality
30,2943212,5,20,21,PhISCS_I_,0.32708048820495605,1.0,0.2343454360961914,,,,,
31,2943212,5,20,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,9.991694688796997,1.0,9.879197120666504,0.02469799280166626,0.24778151512145996,400,9.247658491134644,optimality
32,2943212,5,20,21,BnB_DynamicMWMBounding_None_False,49.18458366394043,1.0,49.1793909072876,0.01115938073684765,,4407,,optimality
33,5264259,5,20,17,PhISCS_I_,0.14042139053344727,1.0,0.044039249420166016,,,,,
34,5264259,5,20,17,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.7669315338134766,1.0,0.6553370952606201,0.03640761640336779,0.09833216667175293,18,0.6336476802825928,optimality
35,5264259,5,20,17,BnB_DynamicMWMBounding_None_False,36.88394355773926,1.0,36.87802982330322,0.013017306679598738,,2833,,optimality
36,7349042,5,20,21,PhISCS_I_,0.33925533294677734,1.0,0.24340534210205078,,,,,
37,7349042,5,20,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,5.590733051300049,1.0,5.480096340179443,0.020448120672311356,0.14863109588623047,268,5.167356967926025,optimality
38,7349042,5,20,22,BnB_DynamicMWMBounding_None_False,60.03193378448486,1.0,60.02516222000122,0.013704374936073339,,4380,,time_limit
39,2668348,5,20,14,PhISCS_I_,0.19007325172424316,1.0,0.09222602844238281,,,,,
