,hash,n,m,n_flips,method,runtime,cf,internal_time,avg_node_time,model_preparation_time,n_nodes,optimization_time,termination_condition
0,7658273,3,33,6,PhISCS_I_,0.3035566806793213,1.0,0.132460355758667,,,,,
1,7658273,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2514975070953369,1.0,0.046509504318237305,0.005813688039779663,0.17084455490112305,8,0.060091257095336914,optimality
2,3911302,3,33,8,PhISCS_I_,0.32160472869873047,1.0,0.1559147834777832,,,,,
3,3911302,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.23274970054626465,1.0,0.046700477600097656,0.004670047760009765,0.15825247764587402,10,0.057856082916259766,optimality
4,4521980,3,33,8,PhISCS_I_,0.627129077911377,1.0,0.42090463638305664,,,,,
5,4521980,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2741260528564453,1.0,0.08385777473449707,0.0041928887367248535,0.1579129695892334,20,0.09171104431152344,optimality
6,4785447,3,33,6,PhISCS_I_,0.3606142997741699,1.0,0.1999986171722412,,,,,
7,4785447,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.25249743461608887,1.0,0.03854942321777344,0.00481867790222168,0.1832275390625,8,0.05673336982727051,optimality
8,445267,3,33,4,PhISCS_I_,0.22652626037597656,1.0,0.06613421440124512,,,,,
9,445267,3,33,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.20470428466796875,1.0,0.01860523223876953,0.0037210464477539064,0.15813612937927246,5,0.03782486915588379,optimality
10,576163,3,33,3,PhISCS_I_,0.2745544910430908,1.0,0.06632471084594727,,,,,
11,576163,3,33,3,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.19760966300964355,1.0,0.017923593521118164,0.004480898380279541,0.1598067283630371,4,0.03070974349975586,optimality
12,1550946,3,33,9,PhISCS_I_,0.46062374114990234,1.0,0.2958183288574219,,,,,
13,1550946,3,33,9,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.256450891494751,1.0,0.05081534385681152,0.004619576714255593,0.18105340003967285,11,0.05672788619995117,optimality
14,3717174,3,33,5,PhISCS_I_,0.2276914119720459,1.0,0.06438994407653809,,,,,
15,3717174,3,33,5,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2159900665283203,1.0,0.028489112854003906,0.004748185475667317,0.15839791297912598,6,0.04686117172241211,optimality
16,893031,3,33,8,PhISCS_I_,0.22884249687194824,1.0,0.0659036636352539,,,,,
17,893031,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2514770030975342,1.0,0.04988837242126465,0.005543152491251628,0.17976808547973633,9,0.05514216423034668,optimality
18,1860470,3,33,7,PhISCS_I_,0.320969820022583,1.0,0.15917420387268066,,,,,
19,1860470,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.22486400604248047,1.0,0.04150843620300293,0.005188554525375366,0.15742158889770508,8,0.05285453796386719,optimality
20,7457715,3,33,4,PhISCS_I_,0.27707958221435547,1.0,0.0920255184173584,,,,,
21,7457715,3,33,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.1984415054321289,1.0,0.01839160919189453,0.0036783218383789062,0.15577292442321777,5,0.03388047218322754,optimality
22,711070,3,33,6,PhISCS_I_,0.23703670501708984,1.0,0.06767654418945312,,,,,
23,711070,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.24344420433044434,1.0,0.02554154396057129,0.003648791994367327,0.19652557373046875,7,0.0342106819152832,optimality
24,8148623,3,33,8,PhISCS_I_,0.5985231399536133,1.0,0.43631720542907715,,,,,
25,8148623,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.24493813514709473,1.0,0.05877065658569336,0.004520819737361028,0.1584761142730713,13,0.0676412582397461,optimality
26,8107319,3,33,10,PhISCS_I_,0.6857006549835205,1.0,0.4952709674835205,,,,,
27,8107319,3,33,10,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.291290283203125,1.0,0.1069953441619873,0.004863424734635787,0.1581408977508545,22,0.10468840599060059,optimality
28,7266397,3,33,6,PhISCS_I_,0.3126828670501709,1.0,0.14875102043151855,,,,,
