,hash,n,m,n_flips,method,runtime,cf,internal_time
0,6241498,100,40,48,PhISCS_I_,19.306409120559692,1.0,10.84340524673462
1,6241498,100,40,48,PhISCS_B_,2.066298484802246,1.0,0.11115026473999023
2,9358273,100,40,52,PhISCS_I_,22.472586154937744,1.0,13.472850799560547
3,9358273,100,40,52,PhISCS_B_,1.9161005020141602,1.0,0.11486506462097168
4,9445673,100,40,50,PhISCS_I_,22.669131994247437,1.0,14.225746154785156
5,9445673,100,40,50,PhISCS_B_,2.3258564472198486,1.0,0.15487265586853027
6,3038215,100,40,43,PhISCS_I_,19.03438925743103,1.0,10.048157691955566
7,3038215,100,40,43,PhISCS_B_,2.263714551925659,1.0,0.09838557243347168
8,8400868,100,40,53,PhISCS_I_,18.237037181854248,1.0,8.95559287071228
9,8400868,100,40,52,PhISCS_B_,1.9999330043792725,1.0,0.10702037811279297
10,7212268,100,40,53,PhISCS_I_,19.697856664657593,1.0,11.282707214355469
11,7212268,100,40,53,PhISCS_B_,1.7500174045562744,1.0,0.11199212074279785
12,5072937,100,40,50,PhISCS_I_,16.434880018234253,1.0,9.015060663223267
13,5072937,100,40,50,PhISCS_B_,1.7568395137786865,1.0,0.1053931713104248
14,6944114,100,40,60,PhISCS_I_,17.240767240524292,1.0,9.268129825592041
15,6944114,100,40,60,PhISCS_B_,1.9723033905029297,1.0,0.14097881317138672
16,7417322,100,40,49,PhISCS_I_,16.3796124458313,1.0,8.18759274482727
17,7417322,100,40,49,PhISCS_B_,2.115530490875244,1.0,0.1358330249786377
18,4206756,100,40,61,PhISCS_I_,17.07508659362793,1.0,8.800211429595947
19,4206756,100,40,60,PhISCS_B_,1.7751352787017822,1.0,0.12345457077026367
