,hash,n,m,n_flips,method,runtime,cf,internal_time
0,4020751,5,5,4,PhISCS_I_,0.028914213180541992,1.0,0.004051685333251953
1,1279142,5,5,4,PhISCS_I_,0.014024019241333008,1.0,0.004602909088134766
2,4871185,5,5,1,PhISCS_I_,0.011885404586791992,1.0,0.0022318363189697266
3,951923,5,5,4,PhISCS_I_,0.015582799911499023,1.0,0.004179716110229492
4,5895013,5,5,1,PhISCS_I_,0.01192331314086914,1.0,0.0019371509552001953
5,7568136,5,5,3,PhISCS_I_,0.012857437133789062,1.0,0.0032563209533691406
6,9358473,5,5,3,PhISCS_I_,0.01849818229675293,1.0,0.0033829212188720703
7,6504818,5,5,4,PhISCS_I_,0.01855945587158203,1.0,0.00351715087890625
8,589731,5,5,2,PhISCS_I_,0.018489599227905273,1.0,0.0032825469970703125
9,3892030,5,5,1,PhISCS_I_,0.018596172332763672,1.0,0.0032935142517089844
10,9653850,5,6,4,PhISCS_I_,0.026360511779785156,1.0,0.005045652389526367
11,8723569,5,6,3,PhISCS_I_,0.018598556518554688,1.0,0.0032355785369873047
12,782108,5,6,4,PhISCS_I_,0.015560388565063477,1.0,0.003283977508544922
13,1920770,5,6,3,PhISCS_I_,0.015930891036987305,1.0,0.003056764602661133
14,3501366,5,6,2,PhISCS_I_,0.016902685165405273,1.0,0.004309892654418945
15,7970001,5,6,4,PhISCS_I_,0.015271663665771484,1.0,0.002950906753540039
16,4879297,5,6,4,PhISCS_I_,0.017317771911621094,1.0,0.004048824310302734
17,3273109,5,6,3,PhISCS_I_,0.022947311401367188,1.0,0.00489354133605957
18,6686386,5,6,4,PhISCS_I_,0.026372909545898438,1.0,0.006238460540771484
19,9861818,5,6,0,PhISCS_I_,0.024878263473510742,1.0,0.004698038101196289
20,4739812,5,7,7,PhISCS_I_,0.039618492126464844,1.0,0.013045310974121094
21,6100278,5,7,5,PhISCS_I_,0.03941750526428223,1.0,0.012816190719604492
22,6972948,5,7,2,PhISCS_I_,0.03291606903076172,1.0,0.006456136703491211
23,7462840,5,7,1,PhISCS_I_,0.03278183937072754,1.0,0.006260871887207031
24,7819621,5,7,3,PhISCS_I_,0.032938480377197266,1.0,0.0065386295318603516
25,7416186,5,7,6,PhISCS_I_,0.1171712875366211,1.0,0.022078752517700195
26,2507581,5,7,5,PhISCS_I_,0.03578352928161621,1.0,0.007064104080200195
27,2757838,5,7,5,PhISCS_I_,0.0355682373046875,1.0,0.006945610046386719
28,8427167,5,7,5,PhISCS_I_,0.03522300720214844,1.0,0.006696462631225586
29,6848545,5,7,6,PhISCS_I_,0.04063057899475098,1.0,0.011964559555053711
30,333348,5,8,5,PhISCS_I_,0.04621124267578125,1.0,0.00906991958618164
31,128610,5,8,7,PhISCS_I_,0.053812265396118164,1.0,0.017149925231933594
32,9183656,5,8,4,PhISCS_I_,0.04524946212768555,1.0,0.008597373962402344
33,4144559,5,8,4,PhISCS_I_,0.04530453681945801,1.0,0.008612632751464844
34,5526443,5,8,3,PhISCS_I_,0.04521298408508301,1.0,0.008485078811645508
35,6319435,5,8,3,PhISCS_I_,0.04104137420654297,1.0,0.005840301513671875
36,5844411,5,8,6,PhISCS_I_,0.0301511287689209,1.0,0.009215116500854492
37,7597851,5,8,3,PhISCS_I_,0.02744460105895996,1.0,0.005797147750854492
38,5455651,5,8,9,PhISCS_I_,0.04004931449890137,1.0,0.019790172576904297
39,5180544,5,8,4,PhISCS_I_,0.025059938430786133,1.0,0.004927158355712891
40,2243599,5,9,9,PhISCS_I_,0.03377127647399902,1.0,0.006810665130615234
41,3315007,5,9,8,PhISCS_I_,0.044970035552978516,1.0,0.018268585205078125
42,93649,5,9,4,PhISCS_I_,0.03317117691040039,1.0,0.0062673091888427734
43,4925825,5,9,8,PhISCS_I_,0.03907489776611328,1.0,0.012534618377685547
44,9660954,5,9,8,PhISCS_I_,0.04268050193786621,1.0,0.014893054962158203
45,3885574,5,9,6,PhISCS_I_,0.03494572639465332,1.0,0.0070416927337646484
46,8053377,5,9,5,PhISCS_I_,0.0330502986907959,1.0,0.006550788879394531
47,3348903,5,9,10,PhISCS_I_,0.06592965126037598,1.0,0.03898429870605469
48,7413584,5,9,4,PhISCS_I_,0.03311562538146973,1.0,0.006684780120849609
49,9627022,5,9,6,PhISCS_I_,0.03342628479003906,1.0,0.006609439849853516
50,617766,5,10,10,PhISCS_I_,0.05298042297363281,1.0,0.02122211456298828
51,3827039,5,10,10,PhISCS_I_,0.0460817813873291,1.0,0.014384269714355469
52,7530701,5,10,5,PhISCS_I_,0.03974628448486328,1.0,0.007961750030517578
53,4537948,5,10,9,PhISCS_I_,0.06201672554016113,1.0,0.02557229995727539
54,1039904,5,10,6,PhISCS_I_,0.06363677978515625,1.0,0.011315107345581055
55,565136,5,10,5,PhISCS_I_,0.06306266784667969,1.0,0.011173725128173828
56,6820550,5,10,5,PhISCS_I_,0.06215620040893555,1.0,0.011190414428710938
57,7789684,5,10,8,PhISCS_I_,0.04521512985229492,1.0,0.00814199447631836
58,6959716,5,10,9,PhISCS_I_,0.0394136905670166,1.0,0.007930278778076172
59,8212661,5,10,6,PhISCS_I_,0.041985273361206055,1.0,0.010219573974609375
60,8976659,5,11,9,PhISCS_I_,0.05426383018493652,1.0,0.010124683380126953
61,3975098,5,11,13,PhISCS_I_,0.06766939163208008,1.0,0.027308940887451172
62,2889980,5,11,12,PhISCS_I_,0.07962417602539062,1.0,0.03585624694824219
63,3653874,5,11,7,PhISCS_I_,0.05328965187072754,1.0,0.011165618896484375
64,469038,5,11,7,PhISCS_I_,0.05537152290344238,1.0,0.012342214584350586
65,783446,5,11,6,PhISCS_I_,0.06088519096374512,1.0,0.012986421585083008
66,2431627,5,11,9,PhISCS_I_,0.04614853858947754,1.0,0.009732961654663086
67,6398774,5,11,6,PhISCS_I_,0.05352282524108887,1.0,0.017384767532348633
68,7528372,5,11,8,PhISCS_I_,0.04834794998168945,1.0,0.009560585021972656
69,9640486,5,11,6,PhISCS_I_,0.053058624267578125,1.0,0.00967550277709961
70,7843444,5,12,12,PhISCS_I_,0.06712794303894043,1.0,0.02392268180847168
71,153569,5,12,10,PhISCS_I_,0.07209038734436035,1.0,0.028859376907348633
72,9701659,5,12,7,PhISCS_I_,0.054979562759399414,1.0,0.012091636657714844
73,7772834,5,12,10,PhISCS_I_,0.09619426727294922,1.0,0.05264425277709961
74,8370134,5,12,6,PhISCS_I_,0.057525634765625,1.0,0.012171030044555664
75,7640552,5,12,12,PhISCS_I_,0.06590008735656738,1.0,0.019448041915893555
76,7817363,5,12,10,PhISCS_I_,0.09753108024597168,1.0,0.05092358589172363
77,9323003,5,12,9,PhISCS_I_,0.0921945571899414,1.0,0.02550196647644043
78,3246292,5,12,9,PhISCS_I_,0.10232019424438477,1.0,0.02042102813720703
79,8567070,5,12,14,PhISCS_I_,0.12874484062194824,1.0,0.051639556884765625
80,9735094,5,13,11,PhISCS_I_,0.10922050476074219,1.0,0.054141998291015625
81,6836453,5,13,11,PhISCS_I_,0.14850521087646484,1.0,0.028684377670288086
82,6087516,5,13,14,PhISCS_I_,0.08623290061950684,1.0,0.0315549373626709
83,6844741,5,13,11,PhISCS_I_,0.08071684837341309,1.0,0.02683115005493164
84,1462061,5,13,11,PhISCS_I_,0.08344841003417969,1.0,0.02781057357788086
85,8533030,5,13,10,PhISCS_I_,0.07096362113952637,1.0,0.015619516372680664
86,442642,5,13,11,PhISCS_I_,0.10270547866821289,1.0,0.04822683334350586
87,6697604,5,13,5,PhISCS_I_,0.06734299659729004,1.0,0.014016389846801758
88,8262242,5,13,11,PhISCS_I_,0.07403993606567383,1.0,0.019231796264648438
89,2037660,5,13,9,PhISCS_I_,0.11343860626220703,1.0,0.05823516845703125
90,5999612,5,14,12,PhISCS_I_,0.13991212844848633,1.0,0.07755613327026367
91,1716905,5,14,13,PhISCS_I_,0.10808587074279785,1.0,0.04538440704345703
92,8420526,5,14,12,PhISCS_I_,0.09896254539489746,1.0,0.03766989707946777
93,3616259,5,14,9,PhISCS_I_,0.07869768142700195,1.0,0.017357349395751953
94,253169,5,14,8,PhISCS_I_,0.07822942733764648,1.0,0.017667770385742188
95,1500205,5,14,8,PhISCS_I_,0.08658909797668457,1.0,0.02472686767578125
96,9887851,5,14,14,PhISCS_I_,0.10858964920043945,1.0,0.048020362854003906
97,2118040,5,14,12,PhISCS_I_,0.12256956100463867,1.0,0.06029820442199707
98,2116009,5,14,11,PhISCS_I_,0.1289215087890625,1.0,0.019896984100341797
99,129659,5,14,11,PhISCS_I_,0.08379101753234863,1.0,0.018084049224853516
100,3303000,5,15,16,PhISCS_I_,0.19803071022033691,1.0,0.11841988563537598
101,7463225,5,15,14,PhISCS_I_,0.17163395881652832,1.0,0.10275626182556152
102,710118,5,15,8,PhISCS_I_,0.13738632202148438,1.0,0.06345534324645996
103,9790854,5,15,14,PhISCS_I_,0.13554024696350098,1.0,0.06047391891479492
104,9831852,5,15,10,PhISCS_I_,0.09646296501159668,1.0,0.022060871124267578
105,954371,5,15,14,PhISCS_I_,0.11497235298156738,1.0,0.04177737236022949
106,8751731,5,15,12,PhISCS_I_,0.19730305671691895,1.0,0.11300253868103027
107,4828959,5,15,15,PhISCS_I_,0.12448954582214355,1.0,0.046445608139038086
108,490405,5,15,13,PhISCS_I_,0.10791611671447754,1.0,0.03749799728393555
109,356912,5,15,10,PhISCS_I_,0.14487886428833008,1.0,0.031150341033935547
110,2759834,5,16,14,PhISCS_I_,0.20659780502319336,1.0,0.12795662879943848
111,210784,5,16,14,PhISCS_I_,0.11473560333251953,1.0,0.036576271057128906
112,9447537,5,16,13,PhISCS_I_,0.12189650535583496,1.0,0.0403134822845459
113,904880,5,16,16,PhISCS_I_,0.2003159523010254,1.0,0.11513018608093262
114,4382863,5,16,13,PhISCS_I_,0.1296076774597168,1.0,0.04278874397277832
115,6015192,5,16,12,PhISCS_I_,0.10441184043884277,1.0,0.02201223373413086
116,1264829,5,16,11,PhISCS_I_,0.16347742080688477,1.0,0.08570432662963867
117,7101619,5,16,12,PhISCS_I_,0.10134530067443848,1.0,0.024666309356689453
118,4509240,5,16,11,PhISCS_I_,0.12453150749206543,1.0,0.04786562919616699
119,7237032,5,16,12,PhISCS_I_,0.19301795959472656,1.0,0.04047107696533203
120,2185959,5,17,11,PhISCS_I_,0.19574236869812012,1.0,0.062415122985839844
121,6891571,5,17,14,PhISCS_I_,0.19225454330444336,1.0,0.1003108024597168
122,2194493,5,17,21,PhISCS_I_,0.3106570243835449,1.0,0.18227028846740723
123,3128098,5,17,18,PhISCS_I_,0.2791173458099365,1.0,0.18296432495117188
124,8079700,5,17,16,PhISCS_I_,0.24627065658569336,1.0,0.15573811531066895
125,5103891,5,17,11,PhISCS_I_,0.12933778762817383,1.0,0.03440356254577637
126,4379070,5,17,8,PhISCS_I_,0.12830877304077148,1.0,0.03496074676513672
127,5393372,5,17,13,PhISCS_I_,0.20896673202514648,1.0,0.07375669479370117
128,6976110,5,17,20,PhISCS_I_,0.177262544631958,1.0,0.08457279205322266
129,7396076,5,17,11,PhISCS_I_,0.28195810317993164,1.0,0.14957880973815918
130,7478769,5,18,17,PhISCS_I_,0.17849040031433105,1.0,0.08392691612243652
131,8947126,5,18,19,PhISCS_I_,0.17099618911743164,1.0,0.07621550559997559
