,hash,n,m,n_flips,method,runtime,cf,internal_time
0,2029971,18,18,112,PhISCS_B_external_,39.785520792007446,1.0,39.74755787849426
1,2029971,18,18,112,PhISCS_I_,4.253624439239502,1.0,3.7824368476867676
2,2029971,18,18,112,PhISCS_B_,29.497765064239502,1.0,29.40201210975647
3,3797308,18,18,113,PhISCS_B_external_,19.62946605682373,1.0,19.587685585021973
4,3797308,18,18,113,PhISCS_I_,4.056036472320557,1.0,3.7067482471466064
5,3797308,18,18,113,PhISCS_B_,16.69702386856079,1.0,16.561511993408203
6,5512174,18,18,115,PhISCS_B_external_,41.43476867675781,1.0,41.38408374786377
7,5512174,18,18,115,PhISCS_I_,4.124599456787109,1.0,3.7056634426116943
8,5512174,18,18,115,PhISCS_B_,38.03918242454529,1.0,37.907169342041016
9,9739299,18,18,102,PhISCS_B_external_,2.9242570400238037,1.0,2.8877532482147217
10,9739299,18,18,102,PhISCS_I_,2.579162359237671,1.0,2.055332899093628
11,9739299,18,18,102,PhISCS_B_,1.8289968967437744,1.0,1.698132038116455
12,8174622,18,18,114,PhISCS_B_external_,56.75049567222595,1.0,56.71849966049194
13,8174622,18,18,114,PhISCS_I_,5.146545648574829,1.0,4.616102695465088
14,8174622,18,18,114,PhISCS_B_,28.438207149505615,1.0,28.340554237365723
15,5336640,18,18,103,PhISCS_B_external_,2.9334299564361572,1.0,2.8851654529571533
16,5336640,18,18,103,PhISCS_I_,2.8050177097320557,1.0,2.459321975708008
17,5336640,18,18,103,PhISCS_B_,5.62101936340332,1.0,5.4867637157440186
18,795852,18,18,109,PhISCS_B_external_,7.8066041469573975,1.0,7.752671241760254
19,795852,18,18,109,PhISCS_I_,2.4845030307769775,1.0,1.9894428253173828
20,795852,18,18,109,PhISCS_B_,11.345229625701904,1.0,11.253169059753418
21,3377444,18,18,112,PhISCS_B_external_,52.16259789466858,1.0,52.13198494911194
22,3377444,18,18,112,PhISCS_I_,4.129810333251953,1.0,3.5908405780792236
23,3377444,18,18,112,PhISCS_B_,54.06934189796448,1.0,53.94213581085205
24,6129438,18,18,107,PhISCS_B_external_,15.264143943786621,1.0,15.233361959457397
25,6129438,18,18,107,PhISCS_I_,2.817814588546753,1.0,2.2920169830322266
26,6129438,18,18,107,PhISCS_B_,7.1387128829956055,1.0,7.012414216995239
27,9830944,18,18,116,PhISCS_B_external_,13.178932189941406,1.0,13.148920059204102
28,9830944,18,18,117,PhISCS_I_,4.752794981002808,1.0,4.220290899276733
29,9830944,18,18,116,PhISCS_B_,6.164782524108887,1.0,6.064234495162964
